"application_certification_map_id","application_id","certification_name","created_by","created_on","updated_by","updated_on"
79,"ad671900-b786-4882-8f6a-008d1f455bd6","SUN CERTIFIED JAVA",NULL,"2022-11-25 11:03:04.979555+05:30",NULL,"2022-11-25 11:03:04.979555+05:30"
80,"ad671900-b786-4882-8f6a-008d1f455bd6","CERTIFIED JAVA",NULL,"2022-11-25 11:03:04.981796+05:30",NULL,"2022-11-25 11:03:04.981796+05:30"
81,"ad671900-b786-4882-8f6a-008d1f455bd6","SUN CERTIFIED",NULL,"2022-11-25 11:03:04.98463+05:30",NULL,"2022-11-25 11:03:04.98463+05:30"
82,"3a1e35fb-8524-4531-b831-a2094786c414","CERTIFICATION IN S/4HANA AND EWM DESIRABLE",NULL,"2022-11-30 10:38:59.706113+05:30",NULL,"2022-11-30 10:38:59.706113+05:30"
83,"bed6de38-e33a-456f-9779-020353e8c040","HINDI PROFICIENCY (SPOKEN)",NULL,"2023-01-10 11:25:58.59913+05:30",NULL,"2023-01-10 11:25:58.59913+05:30"
84,"bed6de38-e33a-456f-9779-020353e8c040","(SPOKEN)",NULL,"2023-01-10 11:25:58.608665+05:30",NULL,"2023-01-10 11:25:58.608665+05:30"
85,"bed6de38-e33a-456f-9779-020353e8c040","HINDI PROFICIENCY",NULL,"2023-01-10 11:25:58.611211+05:30",NULL,"2023-01-10 11:25:58.611211+05:30"
86,"bed6de38-e33a-456f-9779-020353e8c040","ENGLISH PROFICIENCY",NULL,"2023-01-10 11:25:58.613721+05:30",NULL,"2023-01-10 11:25:58.613721+05:30"
87,"bed6de38-e33a-456f-9779-020353e8c040","HINDI PROFICIENCY (WRITTEN)",NULL,"2023-01-10 11:25:58.616589+05:30",NULL,"2023-01-10 11:25:58.616589+05:30"
88,"bed6de38-e33a-456f-9779-020353e8c040","(WRITTEN)",NULL,"2023-01-10 11:25:58.619981+05:30",NULL,"2023-01-10 11:25:58.619981+05:30"
89,"85c9e734-77a0-4737-b69b-d09de710e200","HINDI PROFICIENCY (SPOKEN)",NULL,"2023-01-10 11:30:30.954034+05:30",NULL,"2023-01-10 11:30:30.954034+05:30"
90,"85c9e734-77a0-4737-b69b-d09de710e200","(SPOKEN)",NULL,"2023-01-10 11:30:30.964371+05:30",NULL,"2023-01-10 11:30:30.964371+05:30"
91,"85c9e734-77a0-4737-b69b-d09de710e200","HINDI PROFICIENCY",NULL,"2023-01-10 11:30:30.969416+05:30",NULL,"2023-01-10 11:30:30.969416+05:30"
92,"85c9e734-77a0-4737-b69b-d09de710e200","ENGLISH PROFICIENCY",NULL,"2023-01-10 11:30:30.974729+05:30",NULL,"2023-01-10 11:30:30.974729+05:30"
93,"85c9e734-77a0-4737-b69b-d09de710e200","HINDI PROFICIENCY (WRITTEN)",NULL,"2023-01-10 11:30:30.979324+05:30",NULL,"2023-01-10 11:30:30.979324+05:30"
94,"85c9e734-77a0-4737-b69b-d09de710e200","(WRITTEN)",NULL,"2023-01-10 11:30:30.983147+05:30",NULL,"2023-01-10 11:30:30.983147+05:30"
95,"9edf8b8e-e914-4d2e-87aa-44919a05edd4","ENGLISH PROFICIENCY",NULL,"2023-01-10 11:58:33.255306+05:30",NULL,"2023-01-10 11:58:33.255306+05:30"
96,"9edf8b8e-e914-4d2e-87aa-44919a05edd4","HINDI PROFICIENCY (SPOKEN)",NULL,"2023-01-10 11:58:33.265987+05:30",NULL,"2023-01-10 11:58:33.265987+05:30"
